№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
39162;2025-09-19;3;178;20:01:00;08:21:50;8.3808;30170;Обрыв провода;48800;1666;303;снег;12;2.6;снег;ул. Сатпаева;плановый;ГорЭлектроСеть
39163;2025-12-31;17;89;21:11:00;13:43:06;13.735;49446;Наезд авто на опору;81865;1495;308;облачно;-13;2.5;нет;ТЭЦ-2;текущий;ГорЭлектроСеть
39164;2025-07-11;102;15;09:36:00;16:01:00;16.0335;57720;Наезд авто на опору;82785;1734;321;ясно;26;2.0;нет;ул. Валиханова;текущий;ГорЭлектроСеть
39165;2025-03-23;11;9;01:51:00;23:37:50;21.7808;78410;Отключение МТЗ (КЗ);138437;947;337;туман;2;1.7;нет;мкр. Орбита;плановый;РЭС
39166;2025-05-20;158;15;07:49:00;16:11:50;16.214;58370;Авария на подстанции;31356;1755;54;облачно;16;3.4;нет;ул. Жансугурова;плановый;РЭС
39167;2025-12-14;17;89;09:29:00;23:01:17;23.0381;82937;Обрыв провода;183317;2192;362;снегопад;-6;6.5;снег;Южный мкр;аварийный;Частный
39168;2025-08-01;9;32;20:33:00;21:35:23;21.6064;77783;Повреждение изолятора;68902;1117;111;пасмурно;24;5.6;нет;мкр. Жастар;плановый;РЭС
39169;2025-09-19;15;67;23:47:00;16:31:12;16.5369;59532;Грозовое перенапряжение;93220;1183;319;ясно;19;0.2;нет;ТЭЦ-2;аварийный;Частный
39170;2025-01-24;152;156;16:10:00;23:08:00;6.9667;25080;Отключение МТЗ (перегруз);35109;2387;174;снегопад;-15;7.3;снег;ул. Жансугурова;плановый;РЭС
39171;2025-10-13;105;178;10:55:00;23:22:08;23.3856;84188;РПВ успешно;78938;2244;80;пасмурно;11;5.0;нет;ул. Толе би;аварийный;Частный
39172;2025-10-17;101;32;10:08:00;10:39:44;0.529;1904;Повреждение опоры;518;912;35;пасмурно;7;3.2;нет;Южный мкр;плановый;Частный
39173;2025-01-12;2;45;11:30:00;22:01:31;10.5255;37891;Повреждение опоры;67364;310;293;гроза;-12;13.6;дождь;ул. Гагарина;аварийный;РЭС
39174;2025-07-22;110;156;20:01:00;20:32:18;0.5217;1878;Плановый ремонт;127;277;8;дождь;27;7.7;дождь;ул. Сатпаева;капитальный;ЖКХ
39175;2025-09-16;2;1;09:36:00;16:26:17;16.455;59237;Авария на подстанции;88090;2357;314;пасмурно;22;4.4;нет;ул. Валиханова;плановый;ГорЭлектроСеть
39176;2025-01-26;9;67;07:06:00;19:40:05;12.5681;45245;Падение дерева;110553;1198;425;туман;-13;0.9;нет;ул. Гагарина;плановый;Частный
39177;2025-06-20;3;178;13:36:00;16:07:08;16.1356;58088;РПВ успешно;88357;1440;312;ясно;27;0.7;нет;ул. Абая;капитальный;ГорЭлектроСеть
39178;2025-10-04;17;45;03:48:00;06:57:17;3.155;11357;Повреждение кабеля;10563;1114;132;пасмурно;6;2.3;нет;ул. Гагарина;плановый;РЭС
39179;2025-09-20;2;67;05:55:00;09:08:36;3.2269;11616;Грозовое перенапряжение;9918;772;126;пасмурно;12;2.1;нет;мкр. Жастар;капитальный;ГорЭлектроСеть
39180;2025-01-30;7;132;06:18:00;21:12:16;21.2213;76396;Падение дерева;81141;2416;94;гроза;-18;8.3;дождь;ул. Сатпаева;текущий;РЭС
39181;2025-04-04;15;8;22:01:00;23:56:59;23.9666;86279;Повреждение трансформатора;95202;2321;156;туман;8;1.2;нет;мкр. Восток;текущий;ЖКХ
39182;2025-05-19;13;9;04:33:00;12:55:56;8.3823;30176;Грозовое перенапряжение;33112;1716;249;облачно;17;1.7;нет;ул. Жансугурова;текущий;РЭС
39183;2025-07-26;5;132;10:03:00;15:12:17;5.1549;18557;РПВ успешно;53338;2388;437;ясно;32;0.8;нет;ул. Пушкина;аварийный;РЭС
39184;2025-08-01;13;15;15:15:00;15:33:56;15.5825;56096;Повреждение трансформатора;75927;2261;229;снегопад;19;10.7;снег;Северный мкр;плановый;РЭС
39185;2025-02-02;158;1;10:19:00;17:02:25;6.7238;24205;РПВ успешно;25190;117;214;снег;-15;2.5;снег;промзона;капитальный;ГорЭлектроСеть
39186;2025-11-21;7;199;04:36:00;09:53:52;5.298;19072;Плановый ремонт;9024;302;67;ясно;-4;0.0;нет;ул. Лермонтова;аварийный;РЭС
39187;2025-09-26;158;89;07:29:00;18:33:48;18.58;66888;РПВ успешно;175669;618;445;пасмурно;18;2.5;нет;ТЭЦ-2;аварийный;ЖКХ
39188;2025-03-04;102;8;02:38:00;06:38:15;4.0043;14415;Грозовое перенапряжение;12716;2389;110;снег;-5;5.7;снег;ул. Гагарина;текущий;РЭС
39189;2025-06-10;11;2;18:23:00;23:36:20;23.6222;85040;Плановый ремонт;117454;114;237;туман;22;1.9;нет;ул. Абая;текущий;РЭС
39190;2025-02-12;3;199;07:59:00;11:28:48;3.4967;12588;Обрыв провода;15178;1223;233;снегопад;-20;5.3;снег;ул. Гагарина;капитальный;Частный
39191;2025-03-04;15;89;16:36:00;15:53:26;15.9073;57266;Грозовое перенапряжение;58519;1127;185;туман;-2;1.8;нет;ул. Сатпаева;плановый;РЭС
39192;2025-02-22;17;2;10:07:00;20:54:18;20.9218;75318;Отключение МТЗ (КЗ);101927;2240;166;облачно;-14;3.7;нет;ул. Толе би;плановый;ГорЭлектроСеть
39193;2025-07-05;158;178;02:27:00;07:01:07;4.5686;16447;Отключение МТЗ;16836;721;176;ясно;26;1.0;нет;Центральный р-н;плановый;ГорЭлектроСеть
39194;2025-10-19;17;156;21:32:00;18:21:12;18.3702;66132;РПВ успешно;128092;152;346;дождь;3;7.0;дождь;ул. Толе би;капитальный;РЭС
39195;2025-01-04;152;9;03:57:00;21:45:26;21.7741;78386;Отключение МТЗ (перегруз);68316;1977;134;облачно;-19;4.6;нет;ТЭЦ-2;плановый;РЭС
39196;2025-09-22;7;156;22:35:00;21:21:01;21.3671;76921;Повреждение кабельной линии;186934;1061;357;облачно;23;4.8;нет;ул. Валиханова;аварийный;Частный
39197;2025-12-01;17;199;03:11:00;04:17:06;1.1019;3966;Наезд авто на опору;9013;944;372;облачно;-8;5.0;нет;мкр. Запад;текущий;ЖКХ
39198;2025-05-20;3;25;09:25:00;10:14:14;0.8207;2954;Грозовое перенапряжение;2711;597;240;дождь;15;7.5;дождь;мкр. Орбита;текущий;ГорЭлектроСеть
39199;2025-01-08;101;199;18:03:00;20:11:56;20.2156;72776;Повреждение изолятора;155915;1927;350;гроза;-19;10.6;дождь;ул. Лермонтова;текущий;ГорЭлектроСеть
39200;2025-04-23;110;15;07:06:00;23:44:02;23.7507;85502;Обрыв провода;53928;1773;81;снегопад;13;9.0;снег;ул. Сатпаева;капитальный;Частный
39201;2025-09-27;152;67;09:56:00;22:21:23;12.4231;44723;Отключение МТЗ (КЗ);57370;1565;174;снег;12;3.4;снег;ТЭЦ-2;плановый;Частный
39202;2025-03-01;17;32;20:31:00;23:20:49;23.3638;84109;Плановый ремонт;71809;2162;69;ясно;-5;0.2;нет;ул. Жырау;капитальный;Частный
39203;2025-10-08;7;15;12:59:00;20:20:51;7.3642;26511;Обрыв провода;48847;1760;436;снегопад;3;10.7;снег;промзона;капитальный;РЭС
39204;2025-07-21;9;199;10:34:00;17:46:30;17.7918;64050;Авария на подстанции;94195;1759;181;ясно;30;1.9;нет;мкр. Орбита;плановый;ЖКХ
39205;2025-02-01;158;32;05:54:00;15:04:43;9.1788;33043;РПВ успешно;42201;2119;134;гроза;-9;13.0;дождь;ТЭЦ-2;капитальный;Частный
39206;2025-09-19;5;25;15:34:00;16:34:57;1.0159;3657;Повреждение кабельной линии;5122;412;366;облачно;23;1.1;нет;ул. Валиханова;текущий;РЭС
39207;2025-08-31;2;1;14:33:00;12:41:39;12.711;45759;Повреждение кабельной линии;28623;1929;122;снегопад;21;8.9;снег;ул. Валиханова;аварийный;Частный
39208;2025-03-16;102;15;13:16:00;17:14:49;3.9804;14329;Наезд авто на опору;32682;1625;380;облачно;-3;4.7;нет;ТЭЦ-2;капитальный;РЭС
39209;2025-08-16;158;67;01:58:00;14:57:26;12.9907;46766;Плановый ремонт;18740;98;69;туман;24;0.8;нет;ул. Сатпаева;капитальный;ЖКХ
39210;2025-12-15;7;89;09:24:00;15:17:40;5.8946;21220;Повреждение кабельной линии;12411;2213;69;снег;-19;5.4;снег;Южный мкр;капитальный;ЖКХ
39211;2025-10-27;110;199;09:08:00;11:05:35;1.9599;7055;Отключение МТЗ (перегруз);15640;2307;315;пасмурно;5;4.4;нет;ул. Жансугурова;капитальный;ЖКХ
39212;2025-07-22;11;15;20:52:00;21:28:07;0.6021;2167;Повреждение кабеля;3142;431;378;облачно;31;1.6;нет;мкр. Запад;текущий;Частный
39213;2025-11-16;15;25;10:53:00;22:31:55;11.6489;41935;Повреждение опоры;46430;834;279;облачно;1;3.3;нет;ул. Жансугурова;капитальный;ГорЭлектроСеть
39214;2025-05-04;2;2;22:57:00;09:36:11;9.6198;34631;Падение дерева;82413;1158;428;снегопад;15;11.4;снег;мкр. Запад;текущий;Частный
39215;2025-03-16;5;89;20:22:00;08:19:19;8.3387;30019;Отключение МТЗ (КЗ);27232;732;123;пасмурно;-2;4.0;нет;ул. Пушкина;аварийный;ГорЭлектроСеть
39216;2025-05-15;9;67;07:11:00;20:49:32;13.6423;49112;Повреждение кабельной линии;67670;1496;297;облачно;16;2.7;нет;мкр. Запад;текущий;ГорЭлектроСеть
39217;2025-08-02;105;67;20:20:00;11:41:15;11.7042;42135;Повреждение изолятора;28024;1834;64;облачно;28;3.7;нет;Центральный р-н;плановый;РЭС
39218;2025-10-21;105;156;17:57:00;07:21:27;7.3743;26547;Отключение МТЗ (перегруз);36303;800;249;снегопад;12;7.8;снег;мкр. Орбита;капитальный;ГорЭлектроСеть
39219;2025-07-19;11;15;02:56:00;17:31:29;14.5916;52529;Отключение МТЗ;163884;2219;435;ясно;23;2.6;нет;ул. Гагарина;плановый;Частный
39220;2025-04-11;7;32;06:09:00;20:41:16;20.7046;74536;Отключение МТЗ (перегруз);61746;1243;121;облачно;2;1.7;нет;ул. Жырау;плановый;Частный
39221;2025-02-07;15;199;17:47:00;13:45:59;13.7832;49619;Грозовое перенапряжение;79556;1404;269;облачно;-6;3.9;нет;ул. Лермонтова;аварийный;Частный
39222;2025-10-19;102;199;07:48:00;13:37:14;5.8208;20954;Обрыв провода;55547;1886;369;снег;3;5.1;снег;ул. Абая;текущий;Частный
39223;2025-01-25;7;9;15:49:00;09:38:39;9.6609;34779;Отключение МТЗ (КЗ);66870;1853;402;гроза;-9;8.4;дождь;мкр. Восток;текущий;ГорЭлектроСеть
39224;2025-09-21;7;178;10:51:00;19:47:24;8.9401;32184;Наезд авто на опору;23753;2305;66;облачно;24;4.6;нет;ул. Лермонтова;плановый;РЭС
39225;2025-04-04;3;15;19:31:00;23:24:30;3.8918;14010;Падение дерева;22892;1337;249;туман;2;0.9;нет;ул. Лермонтова;капитальный;Частный
39226;2025-05-02;102;32;12:07:00;13:37:34;13.6428;49114;Авария на подстанции;31718;771;80;облачно;14;3.2;нет;ТЭЦ-2;аварийный;РЭС
39227;2025-08-11;3;15;03:26:00;21:54:29;18.475;66509;Повреждение кабельной линии;4244;53;9;облачно;25;2.2;нет;Центральный р-н;плановый;РЭС
39228;2025-11-19;158;1;03:26:00;23:13:50;19.7974;71270;Повреждение кабельной линии;54303;2100;117;туман;-7;0.7;нет;ул. Гагарина;аварийный;РЭС
39229;2025-02-10;101;89;08:30:00;22:34:44;22.5957;81344;Грозовое перенапряжение;20409;190;39;дождь;-8;7.5;дождь;мкр. Восток;аварийный;ГорЭлектроСеть
39230;2025-05-08;101;32;01:46:00;22:45:51;22.781;82011;Авария на подстанции;39249;2061;24;облачно;22;4.5;нет;ул. Сатпаева;плановый;ЖКХ
39231;2025-11-06;158;67;00:57:00;23:37:40;22.678;81640;Повреждение кабельной линии;105869;99;385;ясно;-5;1.5;нет;ул. Гагарина;плановый;ГорЭлектроСеть
39232;2025-11-15;11;32;01:52:00;12:33:13;10.6871;38473;Падение дерева;78871;805;422;снег;3;3.3;снег;ул. Жырау;текущий;РЭС
39233;2025-01-24;105;15;10:06:00;18:13:43;8.1286;29263;Авария на подстанции;68514;2465;365;ясно;-18;1.8;нет;мкр. Восток;капитальный;Частный
39234;2025-02-20;17;156;17:14:00;12:09:59;12.1833;43859;Повреждение опоры;104512;1060;358;гроза;-5;14.3;дождь;ТЭЦ-2;капитальный;РЭС
39235;2025-04-19;2;178;09:29:00;16:31:22;7.0395;25342;Наезд авто на опору;20162;456;124;пасмурно;5;5.4;нет;мкр. Запад;текущий;РЭС
39236;2025-09-08;15;199;15:59:00;12:58:31;12.9921;46771;Грозовое перенапряжение;67463;329;227;дождь;13;4.9;дождь;мкр. Жастар;аварийный;Частный
39237;2025-02-28;9;8;20:22:00;12:22:34;12.3928;44614;Отключение МТЗ;61947;1002;262;гроза;-5;14.8;дождь;мкр. Орбита;капитальный;ГорЭлектроСеть
39238;2025-07-30;13;45;16:24:00;20:52:45;20.896;75225;Отключение МТЗ (перегруз);30714;1679;54;дождь;20;7.0;дождь;ул. Пушкина;аварийный;ГорЭлектроСеть
39239;2025-07-07;15;1;19:25:00;21:06:36;1.6934;6096;Наезд авто на опору;1523;1384;19;гроза;23;7.4;дождь;ул. Жансугурова;текущий;Частный
